InvoiceDate,AvgNetFare,TotalNetFare
2019-02-22,9244.866305882353,785813.6359999999
2019-02-23,13974.088235294117,475119.0
2019-02-24,9267.0,240942.0
2019-02-25,11980.436799999998,599021.8399999999
2019-02-26,9638.844074074075,520497.58
2019-02-27,9146.20234375,585356.95
2019-02-28,12948.86,647443.0
2019-03-01,12236.764705882353,416050.0
2019-03-02,10565.174285714285,665605.98
2019-03-03,10744.11052631579,204138.1
2019-03-04,7289.665434782609,335324.61
2019-03-05,10933.341884057974,754400.5900000002
2019-03-06,11177.113636363636,491793.0
2019-03-07,9469.612086842106,719690.5186000001
2019-03-08,12566.985094339621,666050.21
2019-03-09,13605.165217391306,625837.6000000001
2019-03-10,10597.63435897436,413307.74
2019-03-11,9459.382439024392,387834.68000000005
2019-03-12,11258.4,506628.0
2019-03-13,12053.110895588236,819611.5409
2019-03-14,12945.097277941175,880266.6148999999
2019-03-15,10866.265306122448,532447.0
2019-03-16,13237.417391304347,304460.6
2019-03-17,10529.407777777778,379058.68
2019-03-18,8204.540675925926,443045.19649999996
2019-03-19,8906.276945238093,374063.6316999999
2019-03-20,10200.751014492755,703851.8200000001
2019-03-21,11707.883488372092,503438.99
2019-03-22,9230.056603773584,489193.0
2019-03-23,14405.23076923077,187268.0
2019-03-24,12195.611111111111,219521.0
2019-03-25,12672.965789473685,963145.4
2019-03-26,12286.243272727274,675743.38
2019-03-27,11718.06,527312.7
2019-03-28,13163.50193548387,816137.1199999999
2019-03-29,12356.270774468087,580744.7264
2019-03-30,9907.5876,435933.8544
2019-03-31,10474.52380952381,219965.0
2019-04-01,9391.998727272729,206623.972
2019-04-02,9653.342933333335,405440.40320000006
2019-04-03,6998.6973963414675,573893.1865000003
2019-04-04,13246.948717948719,516631.0
2019-04-05,14008.862627450982,714451.9940000001
2019-04-06,8924.612244897959,437306.0
2019-04-07,9858.666666666666,147880.0
2019-04-08,13871.8,485513.0
2019-04-09,9365.766767741936,580677.5396
2019-04-10,15493.633802816901,1100048.0
2019-04-11,11444.131895652172,789645.1007999999
2019-04-12,15004.0,30008.0
2019-04-13,15004.0,0.0
2019-04-14,15245.0,15245.0
2019-04-15,16780.5,33561.0
2019-04-16,16435.0,16435.0
2019-04-17,17083.222222222223,153749.0
2019-04-18,12296.0,24592.0
2019-04-19,14155.0,28310.0
2019-04-20,14155.0,0.0
2019-04-21,14155.0,0.0
2019-04-22,21589.5,86358.0
2019-04-23,14571.846153846154,189434.0
2019-04-24,18836.0,18836.0
2019-04-25,10506.0,10506.0
2019-04-26,10937.3125,174997.0
2019-04-27,20623.2,206232.0
2019-04-28,20623.2,0.0
2019-04-29,12131.666666666666,36395.0
2019-04-30,11856.6,177849.0
2019-05-01,8718.950513793103,505699.1298
2019-05-02,13446.52176470588,685772.6099999999
2019-05-03,11993.786862745099,611683.13
2019-05-04,13529.09621029412,919978.5423000001
2019-05-05,11794.935362068967,342053.1255
2019-05-06,9823.391201190478,825164.8609000001
2019-05-07,10835.336971739129,498425.5006999999
2019-05-08,11111.542196296296,600023.2786
2019-05-09,13383.252,669162.6
2019-05-10,13297.087857142857,558477.69
2019-05-11,14712.5,294250.0
2019-05-12,12567.952380952382,263927.0
2019-05-13,11089.836727272728,609941.02
2019-05-14,11871.676363636363,522353.76
2019-05-15,12645.265720000001,569036.9574000001
2019-05-16,8504.029749999998,680322.3799999999
2019-05-17,16215.8282,421611.5332
2019-05-18,11312.45151904762,475122.9638
2019-05-19,6900.05,138001.0
2019-05-20,11759.984311111111,740879.0116
2019-05-21,14403.654339622643,763393.68
2019-05-22,12837.32745098039,654703.7
2019-05-23,13179.720745999999,658986.0373
2019-05-24,12110.313050847457,714508.47
2019-05-25,10287.420138888889,740694.25
2019-05-26,8889.57142857143,62227.0
2019-05-27,10020.381256363638,551120.9691000001
2019-05-28,14533.145454545454,319729.2
2019-05-29,12895.086153846154,335272.24
2019-05-30,10880.513725490195,554906.2
2019-05-31,13418.285714285714,469640.0
2019-06-01,8810.19858076923,229065.1631
2019-06-02,9086.7829,127214.9606
2019-06-03,8346.411548484848,275431.5811
2019-06-04,14220.865853658537,583055.5
2019-06-05,12629.12125,505164.85
2019-06-06,15922.467391304348,366216.75
2019-06-07,12941.017666666668,388230.53
2019-06-08,13275.04340425532,623927.04
2019-06-09,12409.714285714286,260604.0
2019-06-10,13507.448366666664,648357.5215999999
